name,z,ra,dec,st,st_err,s_gr,s_gr_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err
ASAS15hx,0.0083,205.8195,-31.556,1.0558841591819426,0.006923686546141597,1.1336666669179976,0.0017166928324280496,13.140266049508062,0.0040879698580778894,13.284602804073943,0.005114690040241034,13.881764127032048,0.018815090012477394
SNhunt281,0.0041,226.3753,1.634,0.6979165838671408,0.007503010053701477,0.7360000001703156,0.002341526713106555,13.622486844435066,0.006275832265798201,13.676459485004694,0.005942205394436056,13.855825832980312,0.02505309497398923
SN2005hc,0.0459,29.1998,-0.2137,1.133020868496753,0.00822046682472814,1.1723333335925417,0.0016607912769980224,17.272595741010047,0.002418359819710977,17.39824570506603,0.003310082601769941,17.982172347770256,0.01970186164622277
SN2012fr,0.0055,53.4004,-36.1261,1.1054273588174999,0.006053662137483021,1.138333333585615,0.0013252339835779128,11.90609799818457,0.003835142706752343,12.072213075250005,0.004748927624533899,12.774590495195577,0.012563363956855395
SN2005kc,0.0151,338.5306,5.5684,0.902049861632472,0.00955235094468956,0.9683333335509815,0.0022025547452047887,15.469349138241768,0.007773041028869124,15.291170951159195,0.007345137195811995,15.406104468804536,0.01933357317124747
SN2006kf,0.0213,55.4603,8.1569,0.7458529135017222,0.0060170277072330285,0.8013333335169591,0.0017662228396566847,15.909138852250727,0.005682991572772111,15.989187308576746,0.005004698873570503,16.260383834656167,0.012500635658870093
SN2005ki,0.0192,160.1176,9.2023,0.8295791460057503,0.00436489833356247,0.881000000199856,0.0015926891871954826,15.530755193570881,0.004160470473175605,15.683247203729447,0.0037416182949859154,16.12684998459035,0.014113938607463112
SN2012hd,0.0119,18.5311,-32.6521,0.8730031783958919,0.008103411364461795,0.9196666668744001,0.002234121291764687,14.80402713745861,0.007823227240839422,14.736780128142563,0.007375515256854841,14.965149276684835,0.0344555468346022
SN2004eo,0.0157,308.2258,9.9285,0.8178068064250443,0.007820923255499832,0.87133333353122,0.002168729386232777,15.035599554635832,0.00926242088250916,15.027891885966536,0.007453836941302954,15.424377353622074,0.02822141014391879
PTF14w,0.0189,180.8804,2.0428,0.737785718146774,0.00396707709301403,0.783333333513292,0.0011737374341023246,16.043658113391995,0.003689697823084643,16.063874515490582,0.003400592559567745,16.37799274671067,0.02091666864768769
SN2013gy,0.014,55.5703,-4.7218,0.8985484951888886,0.006492825943588373,0.9543333335481293,0.002384183109510925,14.6914416181758,0.006576807629938294,14.737523689050613,0.00638850438947862,15.131568782406866,0.03624063120835675
ASAS15bm,0.0208,226.4649,-5.627,1.0045300524317284,0.009777482513616565,1.133000000251195,0.002234823438791237,15.714190414093563,0.006528058380144372,15.6463324855528,0.007638904243636984,16.087524143395456,0.01804427800396263
SN2007af,0.0055,215.5876,-0.3938,0.9332317751579443,0.005122048606969337,0.9950000002230809,0.0015346811777553503,13.082433818081686,0.005514674323496944,13.09802462719886,0.005223651975761273,13.47425851202903,0.008040709647121787
SN2012ht,0.0036,163.3448,16.7764,0.8438495029530422,0.002854018888524384,0.8850000002006709,0.0010575676381881223,12.961330226547112,0.004900153207083091,13.104187988870944,0.004332939619963892,13.430651564480181,0.006224317269059061
SN2006hx,0.0455,18.4888,0.3717,0.9280273171813113,0.02211652140283006,0.9913333335556672,0.0060036296072360365,17.48203366695053,0.032019800635431445,17.428348567253405,0.02748173600492931,17.73827361969749,0.0645171769661298
SN2005M,0.022,144.3848,23.2007,1.2123478670087733,0.0033270058837377545,1.1863333335953938,0.001068082025978622,15.86954275846672,0.002311423529391732,16.00712911512366,0.0025071372346521697,16.617949547482795,0.01680937003186571
SN2009ab,0.0112,64.1516,2.7642,0.8810592880640734,0.006376824864891066,0.9380000002114685,0.0018289732186199158,14.650853895899319,0.005701524138521682,14.707384292449692,0.00531670377647485,14.977220944344845,0.01829883011721448
SN2008ar,0.0261,186.158,10.8382,1.189108319172372,0.020035850780744574,1.167333333591523,0.005765377935141258,16.251682384910172,0.013959303741127149,16.38452775988647,0.015418067123692545,16.81086962298277,0.045294687258399406
SN2013aj,0.0091,208.5028,-7.9288,0.7775092053658015,0.0049869399746031,0.8246666668550461,0.001654476440390207,14.004220878218208,0.0049177688635673,14.111092508153842,0.005079432471220161,14.32351350578915,0.024266218649508477
SN2007ca,0.0141,202.7742,-15.1018,1.0432984689119866,0.011152684780727127,1.135666666918405,0.003338945873219109,15.754555408888121,0.006258234340704743,15.582019061782143,0.0072000331047492195,15.659654922514061,0.020321369907501326
SN2008hj,0.0379,1.008,-11.1687,0.9990553487676931,0.0068639269186259065,1.1126666669137193,0.0016407782970849468,16.7409528038825,0.003500212596597091,16.861864804744307,0.004105429376764959,17.61914170115792,0.020709071906959597
ASAS14lw,0.0209,16.7049,-46.9833,1.134986207347286,0.018329598147755515,1.1566666669226833,0.003497473017761969,15.540390969624427,0.0076839588648031955,15.709673538927722,0.012107028597893723,16.41510088721364,0.099163560731341
PTF13ebh,0.0133,35.4999,33.2705,0.632961442387384,0.006286169895080169,0.6986666668293765,0.0014245348848478966,14.98123244029699,0.00537678715012496,14.919819042386832,0.005286310012131227,15.070630628220668,0.0313345821903621
ASAS14hu,0.0216,100.8622,-69.6374,1.0774503099889015,0.011410852044879578,1.1483333335876522,0.002142041239772287,15.396987582079394,0.005137351351221386,15.562840253701722,0.007008082119365356,16.217548703241082,0.01875750956781986
SN2006et,0.0222,10.6909,-23.5584,1.0821143876920745,0.009456206379029506,1.150666666921461,0.0022803250163144495,15.893900484408958,0.005763693182539532,15.817217831599375,0.006649366148342998,16.212694934723743,0.016654329360535108
SN2012hr,0.0076,95.4102,-59.7141,0.9721218957590264,0.004334804167247393,1.0486666669006808,0.001334949403578045,13.577959566236508,0.004234385862092711,13.702449840437495,0.004297880124678122,14.164945353530081,0.011683900608860395
SN2007on,0.0065,54.7121,-35.575,0.5789798301550211,0.006185354280154686,0.6656666668226535,0.01724471269377866,12.92980412920732,0.007050105719067561,12.973811936473995,0.00640615347499183,13.106685880954439,0.014847851596205927
SN2009aa,0.0273,170.9262,-22.2707,0.9056625621258818,0.005243017244639582,0.9673333335507778,0.0012517512530585105,16.262811922232274,0.00468588597781851,16.366711939445647,0.005001257298211008,16.78479587541777,0.01111204145950025
SN2008fp,0.0057,109.1358,-29.3255,1.0665743462222896,0.01059731562713807,1.1293333335837814,0.0025927479589956154,13.706571660035461,0.005081948804164055,13.41177925962644,0.0064651209814181486,13.357927212581108,0.008729133788790911
SN2012gm,0.0148,349.4043,14.0025,0.9834798370900526,0.005392334077033007,1.0983333335774659,0.000917878451510019,15.239478320187853,0.0021649150516858937,15.147051867402139,0.0025391928923026255,15.291747838442912,0.011850551779323596
ASAS14lp,0.0051,191.2879,-0.459,1.0597525897486528,0.0068298009402014215,1.127333333583374,0.0018051961744705346,12.036643654499583,0.00441170057407647,11.912950601270774,0.0053480323423114725,12.21083212242831,0.02475744463863546
SN2009I,0.0261,41.2933,-4.7137,1.0629949107201027,0.02976671811736024,1.1520000002550659,0.006833859610602817,17.90695087748072,0.013315634358678484,17.256182072843686,0.015577480366311501,16.771849418620683,0.024316991137461667
SN2005el,0.0149,77.953,5.1943,0.8416806699569458,0.005976266543621553,0.8926666668688995,0.017452101652772497,14.845903646784228,0.009037791091239014,15.055680077695147,0.00642694094657081,15.497811242234578,0.014489274121432666
SN2009ds,0.0192,177.2671,-9.7291,1.1124487903304021,0.024904004111748253,1.1526666669218684,0.003937449297339117,15.426281792464202,0.0073868361001956226,15.430234238082221,0.010070551988393586,15.991541397134274,0.027765246441879495
SN2013M,0.0349,209.9862,-37.8637,0.913518395631639,0.00878674715384579,0.9796666668866237,0.0032193445598411945,16.596610672925795,0.008596335631172658,16.621029125243695,0.008198149215723392,17.131652513435363,0.030450821153813975
LSQ13ry,0.0298,158.2,4.1977,0.8633226193506176,0.0047972859971766,0.923666666875215,0.0014887987738771888,16.52179603423417,0.007581714687723875,16.67682252805537,0.005078051979438613,17.162105672106033,0.03680534804464081
SN2015F,0.0049,114.0657,-69.5064,0.8473900014064553,0.005680793357951395,0.8953333335361094,0.001680670053776773,12.683831464713215,0.007209494299432389,12.672170152089018,0.005700746553214566,12.943191121497197,0.03594581019251165
SN2008bc,0.0151,144.6301,-63.9738,1.0443439541274502,0.0071256714624180146,1.1363333335852075,0.0015681606037314909,14.717576735736786,0.0038899647772115253,14.896613536251449,0.004194425956905357,15.557572160493542,0.012522972591894176
SN2008hv,0.0125,136.8919,3.3923,0.8460601480291502,0.004707990620962495,0.8966666668697144,0.001357349850756571,14.696703577788497,0.006697377986774249,14.850227441993383,0.00545539556967101,15.262265197130212,0.013374479660239596
ASAS14mw,0.0274,25.3548,-65.617,1.0506604112718205,0.008358842253159565,1.1456666669204423,0.0023682782859385464,15.839306611371075,0.004186891709798785,16.01679957129251,0.005969640279794785,16.65955042082942,0.019868676603217884
SN2007bd,0.031,127.8887,-1.1994,0.8815186823145683,0.007517291765589254,0.9540000002147281,0.002178258493947291,16.500298722286573,0.008853285806380427,16.607260361898984,0.007694133159673108,17.10312122565975,0.03825129250815306
SN2008gp,0.0334,50.753,1.3619,0.979113322476458,0.008611701787325423,1.0690000002381566,0.0028627069378691725,16.409778165715608,0.007662828172464232,16.57246987958556,0.007951382850324143,17.109673827038275,0.030316393047008026
SN2014I,0.03,85.5825,-25.5444,0.8989199800264719,0.004940670915505145,0.9623333335497591,0.001976172980017899,16.289712596994214,0.004845227515914531,16.363097695480086,0.005164294365051781,16.857596014855098,0.023626335392935953
SN2007le,0.0067,354.7017,-6.5226,1.033377530345034,0.005015576075921899,1.1240000002493615,0.001259801090502156,13.747821375897205,0.0037188548155278004,13.539098455010185,0.004259389878054282,13.769878604619366,0.007974472661307182
SN2011iv,0.0065,54.7139,-35.5922,0.6661411989289407,0.008577472006033607,0.7143333334992349,0.002230615164648938,12.382365688114708,0.006950978793734694,12.441204437296312,0.005440738854469913,12.626011823408009,0.03399884189222302
SN2006X,0.0052,185.725,15.8092,1.0296226264621866,0.010223966544723798,1.1196666669151454,0.0028337459380413797,14.708701540400167,0.006531858120875908,13.578326594484214,0.008562896588291498,12.87141150166049,0.018138765543169278
SN2008bf,0.0235,181.0121,20.2452,1.0136579607815344,0.007226627209747639,1.1256666669163677,0.001683507732357922,15.671184350985339,0.005166113529363714,15.87697282759585,0.005443443996714629,16.44247916839701,0.01161362611954861
ASAS14my,0.0205,174.6249,-8.9766,0.9152136326940948,0.007815367374327207,0.9776666668862163,0.002092757676850816,15.562103831434953,0.00820674302752191,15.600496238338854,0.007770016351145899,16.115945289734878,0.025749065904653024
SN2007S,0.0139,150.1302,4.4073,1.1025987356392148,0.011385157399493162,1.145333333587041,0.002786096603993835,15.5928433925334,0.007334445160710182,15.294374089412365,0.009885059034955328,15.369132424100949,0.014430962355345443
SN2006ax,0.0167,171.0144,-12.2914,0.9912188015844365,0.0063286021586492795,1.101333333578077,0.016816673486061876,15.009810225863887,0.0058538864912279776,15.19052134040229,0.00578589220954756,15.706506975978744,0.008692734118644395
